Igra,Min. st. igralcev,Max. st. igralcev,Min cas,Max. cas,Leto izdaje,Min. starost,Ocena,Osnova/Dodatek
Terraforming Mars: Lunar Exports Promo Card,1,5,120,,2018,12,9,Terraforming Mars
Terraforming Mars: Prelude,1,5,90,120,2018,12,8.49,Terraforming Mars
Terraforming Mars: Hellas & Elysium,1,5,90,120,2017,12,8.59,Terraforming Mars
Terraforming Mars: Penguins Promo Card,1,5,90,120,2017,10,9.63,Terraforming Mars
Twilight Struggle: Turn Zero and Promo Packs,2,2,,360,2017,13,8,Twilight Struggle
Twilight Struggle: Regime of the Colonels Promo Card,2,2,120,180,2016,13,7.59,Twilight Struggle
Twilight Struggle: Promo Deck,2,2,,,2015,,7.77,Twilight Struggle
Twilight Struggle: Turn Zero,2,2,180,,2015,13,9.53,Twilight Struggle
"Twilight Struggle: ""Pakt Bagdadzki"" and ""Stan Wojenny"" Promo Cards,2,2,,,2013,,8.51,Twilight Struggle
"Twilight Struggle: ""Referendum NATO"" Promo Card,2,2,,,2012,,8.83,Twilight Struggle
"Twilight Struggle: ""Anni di Piombo"" Promo Card,2,2,,,2011,,7.84,Twilight Struggle
"Twilight Struggle: ""Gladio"" Promo Card,2,2,120,180,2011,13,8.92,Twilight Struggle
"Twilight Struggle: ""Финляндизация"" Promo Card,2,2,120,180,201,13,7.23",Twilight Struggle
Star Wars: Rebellion – Rise of the Empire,2,4,180,240,2017,14,7.73,Star Wars: Rebellion
Scythe: Modular Board,1,5,90,115,2019,14,8,Scythe
Scythe: Bonus Promo Pack – 6 Promo Encounter Cards numbers 37-42,1,7,75,150,2018,14,7.39,Scythe
Scythe: Encounters,1,7,90,115,2018,14,8.98,Scythe
Scythe: The Rise of Fenris,1,5,75,150,2018,12,9.15,Scythe
Scythe: Promo Pack #11 – Encounter Card 39,1,5,90,115,2017,14,9.84,Scythe
Scythe: Promo Pack #12 – Encounter Card 40,1,7,90,115,2017,,8,Scythe
Scythe: Promo Pack #13 – Encounter Card 41,1,7,,,2017,14,9.97,Scythe
Scythe: Promo Pack #14 – Encounter Card 42,1,7,75,150,2017,14,9.46,Scythe
Scythe: The Wind Gambit,1,7,70,140,2017,14,7.38,Scythe
Scythe: Invaders from Afar,1,7,90,140,2016,14,8.12,Scythe
Brettspiel Adventskalender 2018,,,,,2018,,9.05,Great Western Trail
Great Western Trail: At the Poker Table,2,4,75,150,2018,12,8.84,Great Western Trail
Great Western Trail: Rails to the North,2,4,75,150,2018,14,7,Great Western Trail
Deutscher Spielepreis 2017 Goodie Box,,,,,2017,,7.36,Great Western Trail
Great Western Trail: Promo Station Master Tiles,2,4,75,150,2017,12,9.79,Great Western Trail
Great Western Trail: The Eleventh Building Tile,2,4,75,150,2017,12,9.33,Great Western Trail
Terra Mystica: Merchants of the Seas,2,5,60,120,2019,12,9.59,Terra Mystica
Terra Mystica: Erweiterungsbogen,,,,,2015,,9.09,Terra Mystica
Terra Mystica: Fire & Ice,2,5,100,,2014,12,8,Terra Mystica
Terra Mystica: 4 Town Tiles,2,5,100,,2013,12,7.37,Terra Mystica
Terra Mystica: Bonus Card Shipping Value,2,5,100,,2013,12,9.88,Terra Mystica
War of the Ring: Warriors of Middle-earth,,,,,2016,,9.13,War of the Ring (Second Edition)
War of the Ring: Warriors of Middle-earth – Tidings Not Burdens Mini-Expansion,2,4,180,,2016,12,9.87,War of the Ring (Second Edition)
War of the Ring: Lords of Middle-earth,2,4,180,,2012,13,8.18,War of the Ring (Second Edition)
War of the Ring: Lords of Middle-earth – Treebeard Mini-Expansion,2,4,180,,2012,12,9.52,War of the Ring (Second Edition)
War of the Ring: Scenario – The Breaking of the Fellowship,2,4,120,180,2012,14,8.82,War of the Ring (Second Edition)
Brettspiel Adventskalender 2018,,,,,2018,,7.39,The Castles of Burgundy
The Castles of Burgundy: 10th Expansion – Solo,1,1,30,90,2018,12,9.14,The Castles of Burgundy
Brettspiel Adventskalender 2017,,,,,2017,,8.39,The Castles of Burgundy
The Castles of Burgundy: 8th Expansion – Trade Routes,2,4,,,2017,8,8.09,The Castles of Burgundy
The Castles of Burgundy: 9th Expansion – The Team Game,4,4,30,90,2017,13,8,The Castles of Burgundy
The Castles of Burgundy: 7th Expansion – German Board Game Championship Board 2016,2,4,90,,2016,12,8.92,The Castles of Burgundy
Brettspiel Adventskalender 2015,,,,,2015,,9.46,The Castles of Burgundy
The Castles of Burgundy: 6th Expansion – The Cloisters,2,4,30,90,2015,12,9.31,The Castles of Burgundy
The Castles of Burgundy: 5th Expansion – Pleasure Garden,2,4,90,,2014,12,9.55,The Castles of Burgundy
Stadt Land Spielt Limitierter Sonderdruck Tag des Gesellschaftsspiels,,,,,2014,,9.53,The Castles of Burgundy
Spirit Island: Jagged Earth,1,6,90,120,2020,13,9.01,Spirit Island
Spirit Island: Promo Pack 2,1,4,90,120,2020,13,8.22,Spirit Island
Spirit Island: Unter der Insel schlummernde Schlange Promo,1,4,,,2018,,7.72,Spirit Island
Spirit Island: Branch & Claw,1,4,90,120,2017,13,9.06,Spirit Island
Spirit Island: Champions of the Dahan Token Pack,5,6,90,120,2017,13,8.63,Spirit Island
Spirit Island: Expansion Playmat,5,6,90,120,2017,13,7.54,Spirit Island
Spirit Island: Promo Pack 1,1,4,90,120,2017,13,8.81,Spirit Island
Leaders (fan expansion to  7 Wonders Duel),2,2,30,,2019,10,9,7 Wonders Duel
7 Wonders Duel: Pantheon,2,2,30,45,2016,10,8.09,7 Wonders Duel
7 Wonders Duel: Statue of Liberty,2,2,30,,2016,10,9.63,7 Wonders Duel
7 Wonders Duel: The Messe Essen Promo Card,2,2,30,,2015,10,8,7 Wonders Duel
The 7th Continent: Comfort Creatures,1,4,5,1000,2019,14,9,The 7th Continent
The 7th Continent: The Flying Roots,1,4,5,1000,2019,12,8.41,The 7th Continent
The 7th Continent: What Goes Up, Must Come Down,1,4,5,1000,2019,The 7th Continent,14
The 7th Continent: BGG Promo Cards,1,4,5,1000,2017,14,7.27,The 7th Continent
The 7th Continent: Facing the Elements,1,4,5,1000,2017,14,7.96,The 7th Continent
The 7th Continent: Fear the Devourers,1,4,5,1000,2017,14,7.84,The 7th Continent
The 7th Continent: Path of Repentance,1,4,5,1000,2017,14,7.33,The 7th Continent
The 7th Continent: Swamp of Madness,1,4,5,1000,2017,14,9.34,The 7th Continent
The 7th Continent: The Forbidden Sanctuary,1,4,5,1000,2017,14,8.65,The 7th Continent
The 7th Continent: The Icy Maze,1,4,5,1000,2017,14,7,The 7th Continent
Concordia: Venus (expansion),2,6,60,120,2018,12,8.08,Concordia
Concordia: Aegyptus / Creta,2,5,60,120,2017,12,9,Concordia
Concordia: 8 Forum Cards mini-expansion,2,5,60,,2016,12,8.89,Concordia
Concordia: Gallia / Corsica,2,5,,,2016,,7.84,Concordia
Concordia: Salsa,2,5,90,,2015,12,7.37,Concordia
Concordia: Britannia / Germania,2,5,100,,2014,12,9.06,Concordia
Viticulture: Visit from the Rhine Valley,1,6,60,90,2018,12,7.47,Viticulture Essential Edition
Tuscany Essential Edition,1,6,60,150,2016,14,7.55,Viticulture Essential Edition
Viticulture: Moor Visitors Expansion,1,6,45,90,2016,13,7.45,Viticulture Essential Edition
Viticulture: Arboriculture Expansion,2,6,75,,2013,10,9.59,Viticulture Essential Edition
Viticulture: Kickstarter Promotional Cards,2,6,,,2013,,9.88,Viticulture Essential Edition
Puerto Rico: Expansions 1&2 – The New Buildings & The Nobles,2,5,90,,2019,10,9.41,Puerto Rico
Puerto Rico: Expansion II – The Nobles,2,5,90,,2009,12,7,Puerto Rico
Treasure Chest,2,6,75,,2009,9,8.56,Puerto Rico
Haiti (fan expansion for Puerto Rico),3,5,90,,2008,12,7,Puerto Rico
Puerto Rico: Expansion I – New Buildings,2,5,90,,2004,10,7.26,Puerto Rico
Arkham Horror: The Card Game – Before the Black Throne: Mythos Pack,1,2,60,120,2019,14,7.67,Arkham Horror: The Card Game
Arkham Horror: The Card Game – For the Greater Good: Mythos Pack,1,2,60,120,2019,14,9,Arkham Horror: The Card Game
Arkham Horror: The Card Game – In The Clutches of Chaos: Mythos Pack,1,2,60,120,2019,14,9.93,Arkham Horror: The Card Game
Arkham Horror: The Card Game – Return to the Path to Carcosa,1,2,60,120,2019,14,7.48,Arkham Horror: The Card Game
Arkham Horror: The Card Game – The Blob That Ate Everything: Scenario Pack,1,4,60,120,2019,14,9.42,Arkham Horror: The Card Game
Arkham Horror: The Card Game – The Circle Undone: Expansion,1,2,60,120,2019,14,8.73,Arkham Horror: The Card Game
Arkham Horror: The Card Game – The Secret Name: Mythos Pack,1,2,60,120,2019,14,8.16,Arkham Horror: The Card Game
Arkham Horror: The Card Game – The Wages of Sin: Mythos Pack,1,2,60,120,2019,14,9.66,Arkham Horror: The Card Game
Arkham Horror: The Card Game – Union and Disillusion: Mythos Pack,1,2,60,120,2019,14,7,Arkham Horror: The Card Game
Arkham Horror: The Card Game – Beta Cards from Arkham Night 2018,1,2,60,120,2018,14,7.33,Arkham Horror: The Card Game
Brass: 2-player board,2,2,60,120,2015,12,8.85,Brass: Lancashire
Catalonia (fan expansion for Brass),3,4,120,,2010,13,8.07,Brass: Lancashire
Caverna: The Forgotten Folk,1,7,30,210,2018,12,8.47,Caverna: The Cave Farmers
Caverna: The Forgotten Folk – Adventurers Promo,1,7,30,210,2018,12,7.98,Caverna: The Cave Farmers
Caverna: The Forgotten Folk – Halflings promo,1,7,30,210,2018,12,8.89,Caverna: The Cave Farmers
Caverna: Water Expansion,1,7,30,120,2015,12,7.42,Caverna: The Cave Farmers
Caverna: Christmas Chamber,1,7,30,210,2014,12,8.96,Caverna: The Cave Farmers
Caverna: LARP and Cosplay Postcard,1,7,30,210,2014,12,9.25,Caverna: The Cave Farmers
Caverna: Mini Expansion,1,7,30,210,2014,12,8.64,Caverna: The Cave Farmers
Mage Knight Board Game: Dual Color Cards Expansion,1,4,60,240,2019,14,9.26,Mage Knight Board Game
Mage Knight Board Game: Shades of Tezla Expansion,1,5,60,240,2015,14,9  ,Mage Knight Board Game
Mage Knight Board Game: Krang Character Expansion,1,5,90,,2013,14,9.47,Mage Knight Board Game
Mage Knight Board Game: The Lost Legion Expansion,1,5,240,,2012,14,9.74,Mage Knight Board Game
Agricola: Changelings,1,5,30,150,2018,12,9.65,Agricola
Agricola: Glon­na­cker,1,5,30,150,2015,12,7.32,Agricola
Agricola: France Deck,1,5,90,,2014,13,8,Agricola
Agricola: Bielefeld Deck,1,5,,,2013,,8,Agricola
Agricola: Belgium Deck,1,5,180,,2012,13,7.27,Agricola
Agricola: Brakelhühner Promo Card,1,5,120,,2012,12,7,Agricola
Agricola: De Lage Landen,1,5,120,,2012,12,7.97,Agricola
Agricola: Pi-Deck,1,5,120,,2012,12,7.95,Agricola
Agricola Ereigniskarten,1,5,120,,2011,12,9.09,Agricola
Agricola: NL-Deck,1,5,30,150,2011,12,7.68,Agricola
Orléans: 5th Player Box,1,5,90,,2018,12,7.76,Orléans
Orléans: Lévêché de Tours,2,4,90,,2018,12,7.69,Orléans
Orléans: Promo Ortskarten N°2,2,4,90,,2018,14,8.08,Orléans
Orléans: Drawbridge,2,4,,,2017,12,9.18,Orléans
Orléans: Neue Ortskarten N°5,2,4,90,,2017,14,8.79,Orléans
Orléans: Opera,2,4,90,,2017,12,8.95,Orléans
Orléans: Promo Ortskarten N°1,2,4,90,,2017,14,9.38,Orléans
Orléans: Neue Ortskarten N°4,2,4,90,,2016,14,8.53,Orléans
Orléans: Prairie,2,4,,,2016,12,8.18,Orléans
Orléans: Trade & Intrigue,2,5,90,,2016,12,7.54,Orléans
Mansions of Madness: Second Edition – Horrific Journeys: Expansion,1,5,120,180,2018,14,7.27,Mansions of Madness: Second Edition
Mansions of Madness: Second Edition – Sanctum of Twilight: Expansion,1,5,120,180,2018,14,8.45,Mansions of Madness: Second Edition
Mansions of Madness: Second Edition – Beyond the Threshold: Expansion,1,5,120,180,2017,14,8.61,Mansions of Madness: Second Edition
Mansions of Madness: Second Edition – Streets of Arkham: Expansion,1,5,120,180,2017,14,7.92,Mansions of Madness: Second Edition
Mansions of Madness: Second Edition – Recurring Nightmares: Figure and Tile Collection,1,5,120,180,2016,14,7.93,Mansions of Madness: Second Edition
Mansions of Madness: Second Edition – Suppressed Memories: Figure and Tile Collection,1,5,120,180,2016,13,7,Mansions of Madness: Second Edition
A Feast for Odin: The Norwegians,1,4,30,120,2018,12,8.51,A Feast for Odin
Deutscher Spielepreis 2017 Goodie Box,,,,,2017,,8.73,A Feast for Odin
A Feast for Odin: Lofoten, Orkney, and Tierra del Fuego,1,4,30,120,12,2017
A Feast for Odin: New Special Tiles,1,4,30,120,2017,12,9.28,A Feast for Odin
Food Chain Magnate: The Ketchup Mechanism & Other Ideas,2,6,120,240,2019,14,8.28,Food Chain Magnate
Blood Rage: Hili – The Even-Handed,2,4,60,90,2016,13,9,Blood Rage
Blood Rage: 5th Player Expansion,5,5,60,90,2015,13,9,Blood Rage
Blood Rage: Gods of �sgard,2,4,60,90,2015,13,9.69,Blood Rage
Blood Rage: Kickstarter Exclusives,2,4,60,90,2015,13,8.77,Blood Rage
Blood Rage: Mystics of Midgard,2,4,60,90,2015,13,9.02,Blood Rage
Kingdom Death: Monster – Abyssal Woods Expansion,1,6,60,180,2019,17,7.95,Kingdom Death: Monster
Kingdom Death: Monster – Ancient Root,1,6,60,180,2019,17,7.98,Kingdom Death: Monster
Kingdom Death: Monster – Anonymous Survivor Promo,1,6,60,180,2019,17,8.12,Kingdom Death: Monster
Kingdom Death: Monster – Black Knight Expansion,1,6,60,180,2019,17,9.04,Kingdom Death: Monster
Kingdom Death: Monster – Campaigns of Death Expansion,1,6,60,180,2019,17,9.85,Kingdom Death: Monster
Kingdom Death: Monster – Corsair Coat,1,6,60,180,2019,17,8.28,Kingdom Death: Monster
Kingdom Death: Monster – Death Armor Expansion,1,6,60,180,2019,17,7.67,Kingdom Death: Monster
Kingdom Death: Monster – False Messengers Promo,1,6,60,180,2019,17,9.97,Kingdom Death: Monster
Kingdom Death: Monster – First Hero Expansion,1,6,60,180,2019,17,7.47,Kingdom Death: Monster
Kingdom Death: Monster – Frogdog Expansion,1,6,60,180,2019,17,7.24,Kingdom Death: Monster
Through the Ages: Spanish Promo Card Set,2,4,240,,2012,12,7.29,Through the Ages: A Story of Civilization
Cywilizacja: Poprzez wieki – Polski dodatek 2,2,4,240,,2011,12,8.44,Through the Ages: A Story of Civilization
BGO Extended 2.0 expansion (fan expansion for Through the Ages),2,4,240,,2010,12,8.69,Through the Ages: A Story of Civilization
Cywilizacja: Poprzez wieki – Polski dodatek 1,2,4,240,,2009,12,9.39,Through the Ages: A Story of Civilization
Through the Ages: A Story of Civilization – Czech expansion,2,4,240,,2009,12,7.27,Through the Ages: A Story of Civilization
Power Grid: Fabled Expansion,2,6,120,,2017,12,9.82,Power Grid
Brettspiel Adventskalender 2015,,,,,2015,,8.62,Power Grid
Power Grid: High-Voltage DC Transmission Passage C,2,6,120,,2015,12,8.66,Power Grid
Power Grid: The Stock Companies,2,6,120,,2015,13,8.65,Power Grid
Power Grid: Australia & Indian Subcontinent,2,6,120,,2013,13,9.58,Power Grid
Power Grid: Taxes,2,6,120,,2013,12,7.82,Power Grid
Power Grid: Northern Europe/United Kingdom & Ireland,2,6,120,,2012,13,8.83,Power Grid
Power Grid: Oracle & Industrial Espionage,2,6,120,,2012,12,9.76,Power Grid
Power Grid: Québec/Baden-Württemberg,2,6,120,,2012,13,9.51,Power Grid
Funkenschlag: Speicherkraftwerk,2,6,120,,2011,12,8.09,Power Grid
Star Wars: Imperial Assault – Coruscant Back Alleys Skirmish Map,2,2,60,120,2019,14,7,Star Wars: Imperial Assault
Star Wars: Imperial Assault – Endor Defense Station Skirmish Map,2,2,60,120,2019,14,7,Star Wars: Imperial Assault
Star Wars: Imperial Assault – Ezra Bridger and Kanan Jarrus Ally Pack,2,5,60,120,2018,14,7.53,Star Wars: Imperial Assault
Star Wars: Imperial Assault – Hondo Ohnaka Villain Pack,2,5,60,120,2018,14,8.93,Star Wars: Imperial Assault
Star Wars: Imperial Assault – Sabine Wren and Zeb Orrelios Ally Pack,2,5,60,120,2018,14,9.77,Star Wars: Imperial Assault
Star Wars: Imperial Assault – Thrawn Villain Pack,2,5,60,120,2018,14,8.07,Star Wars: Imperial Assault
Star Wars: Imperial Assault – Tyrants of Lothal,2,5,60,120,2018,14,9,Star Wars: Imperial Assault
Star Wars: Imperial Assault – Ahsoka Tano Ally Pack,2,5,60,,2017,10,7.55,Star Wars: Imperial Assault
Star Wars: Imperial Assault – Alliance Rangers Ally Pack,2,5,,,2017,12,7.63,Star Wars: Imperial Assault
Star Wars: Imperial Assault – BT-1 and 0-0-0 Villain Pack,2,5,60,120,2017,14,9.74,Star Wars: Imperial Assault
Tzolkin: The Mayan Calendar – Mini Expansion 2,2,4,90,,2013,13,7.91,Tzolkin: The Mayan Calendar
Tzolkin: The Mayan Calendar – Tribes & Prophecies,2,5,90,,2013,13,8.16,Tzolkin: The Mayan Calendar
Tzolkin: The Mayan Calendar – Mini Expansion 1,2,4,90,,2012,13,8.15,Tzolkin: The Mayan Calendar
Azul: Special Factories Promo,2,4,30,45,2018,8,7.78,Azul
Deutscher Spielepreis 2018 Goodie Box,,,,,2018,,7.67,Azul
Azul: Joker Tiles,2,4,30,45,2017,8,9.52,Azul
Eclipse:  Anticipation of the Elders,2,6,60,200,2016,14,9.13,Eclipse
Eclipse: Black Hole,,,,,2015,,8.55,Eclipse
Eclipse: Gift of the Elders,2,9,60,200,2015,14,9.37,Eclipse
Eclipse: Shadow of the Rift,2,6,120,,2015,14,7.98,Eclipse
Eclipse: Nebula,2,6,120,,2014,14,7.21,Eclipse
Eclipse: The Galactic North,2,9,,,2014,,7.76,Eclipse
Eclipse: Minions of the Solstice,2,9,120,,2013,,8.18,Eclipse
Eclipse: Ship Pack One,2,6,120,,2013,14,8.15,Eclipse
Eclipse: Pulsar,2,6,120,,2012,14,7.29,Eclipse
Eclipse: Rise of the Ancients,2,9,120,,2012,14,8.58,Eclipse
Le Havre: Le Grand Hameau – Tablet with App,1,5,,,2012,,7.34,Le Havre
Le Havre: Le Grand Hameau,1,5,150,,2010,12,9.47,Le Havre
Le Havre: Le Grand Hameau – Rattletrap car,1,5,150,,2010,12,8.08,Le Havre
Le Havre: Le Grand Hameau – Wholesale Bakery,1,5,150,,2010,12,8.49,Le Havre
Le Havre: Spielemesse Sonderkarte,1,5,150,,2010,12,9.35,Le Havre
Le Havre Expansion: Essen Promo Cards,1,5,150,,2008,,9.06,Le Havre
Robinson Crusoe: Adventures on the Cursed Island – Mystery Tales,1,4,60,120,2019,14,7.72,Robinson Crusoe: Adventures on the Cursed Island
Robinson Crusoe: Przygoda na przeklętej wyspie – Kafel Wulkanu,1,4,60,120,2019,14,9.68,Robinson Crusoe: Adventures on the Cursed Island
Robinson Crusoe: Adventure in the Neverland Junior,1,4,60,120,2018,14,7,Robinson Crusoe: Adventures on the Cursed Island
